"(Rows, Cols) = (11, 4)",,,,,,
,Key,Cost,Reward,Description,,
,Harbor_01,4,6,如果商船停靠至一號港口則獲得獎勵$6(花費$4),,
,Harbor_02,3,8,如果商船停靠至二號港口則獲得獎勵$8(花費$3),,
,Harbor_03,2,15,如果商船停靠至三號港口則獲得獎勵$15(花費$2),,
,Tomb_01,4,6,如果商船沈落至一號船墓則獲得獎勵$6(花費$4),,
,Tomb_02,3,8,如果商船沈落至二號船墓則獲得獎勵$8(花費$3),,
,Tomb_03,2,15,如果商船沈落至三號船墓則獲得獎勵$15(花費$2),,
,Bank,0,10,成為銀行家可獲得$10但須支付船墓獎勵(船墓需有玩家投資),,
,Pirates,5,0,成為海盜可以搶劫停在13的船隻,,
,Boat_Shift_1,2,1,移動商船+1/-1個單位(花費$2),,
,Boat_Shift_2,5,2,移動商船+2/-2個單位(花費$5),,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
